epoch,accuracy,loss,val_accuracy,val_loss
0,0.8869898915290833,0.42467737197875977,0.9649428725242615,0.10828149318695068
1,0.9279906749725342,0.24076810479164124,0.964735209941864,0.10433362424373627
2,0.921355128288269,0.26179540157318115,0.9630321860313416,0.1099209189414978
3,0.9207398891448975,0.2631121873855591,0.9504672884941101,0.14197468757629395
4,0.9185007810592651,0.26839154958724976,0.9608930349349976,0.12279405444860458
5,0.9177336692810059,0.2717362642288208,0.934392511844635,0.25792816281318665
6,0.9147235155105591,0.28012120723724365,0.9532502889633179,0.14440812170505524
7,0.907838761806488,0.30240964889526367,0.9513395428657532,0.1544598639011383
8,0.9076752066612244,0.3024872839450836,0.9588992595672607,0.11345141381025314
9,0.9010319113731384,0.32173147797584534,0.9082450866699219,0.28850865364074707
